sep=,
Device,ComId,ListName,ListType,Name,Description,Value,ArrayIndex,Unit

Device,ComId,ListName,ListType,Name,Description,Value,ArrayIndex,Unit
C1,179,RamEcuInputsC1,DB_RAM_ECU,bi3TransmissionPressureSensorState,Transmission Pressure Sensor state,1,0,[custom]
C1,180,RamEcuInputsC1,DB_RAM_ECU,i16TransmissionPressureSensorValue,Transmission Pressure Sensor value,264,0,[custom]
C1,181,RamEcuInputsC1,DB_RAM_ECU,u16TransmissionPressureSensorRawMas,Transmission Pressure Sensor raw value Master,4905,0,[custom]
C1,264,RamEcuInputsC1,DB_RAM_ECU,u16TransmissionPressureSensorRawSla,Transmission Pressure Sensor raw value slave,4918,0,[custom]
C1,185,RamEcuInputsC1,DB_RAM_ECU,bi3DeltaArmAngularSensorState,Delta Arm Angular Sensor state,1,0,[custom]
C1,186,RamEcuInputsC1,DB_RAM_ECU,i16DeltaArmAngularSensorValue,Delta Arm Angular Sensor value,7810,0,[custom]
C1,195,RamEcuInputsC1,DB_RAM_ECU,i16DeltaArmAngleValue,Delta Arm Angular Sensor with calibration scaling  value,5,0,[custom]
C1,187,RamEcuInputsC1,DB_RAM_ECU,u16DeltaArmAngularSensorRawValueMas,Delta Arm Angular Sensor raw value Master,7811,0,[custom]
C1,188,RamEcuInputsC1,DB_RAM_ECU,u16DeltaArmAngularSensorRawValueSla,Delta Arm Angular Sensor raw value slave,7809,0,[custom]
C1,191,RamEcuInputsC1,DB_RAM_ECU,bi3ArrowArmAngularSensorState,Arrow Arm Angular Sensor state,1,0,[custom]
C1,192,RamEcuInputsC1,DB_RAM_ECU,i16ArrowArmAngularSensorValue,Arrow Arm Angular Sensor value,12112,0,[custom]
C1,405,RamEcuInputsC1,DB_RAM_ECU,i16ArrowArmAngleValue,Arrow Arm Angular Sensor with calibration scaling  value,3801,0,[custom]
C1,193,RamEcuInputsC1,DB_RAM_ECU,u16ArrowArmAngularSensorRawValueMas,Arrow Arm Angular Sensor raw value,12111,0,[custom]
C1,194,RamEcuInputsC1,DB_RAM_ECU,u16ArrowArmAngularSensorRawValueSla,Arrow Arm Angular Sensor state,12082,0,[custom]
C1,197,RamEcuInputsC1,DB_RAM_ECU,i16GasGaugeValue,Gas Gauge value,32767,0,[custom]
C1,198,RamEcuInputsC1,DB_RAM_ECU,u32GasGaugeRawValue,Gas Gauge raw value,180,0,[custom]
C1,199,RamEcuInputsC1,DB_RAM_ECU,eAru1State,Aru 1 state,0,0,[custom]
C1,201,RamEcuInputsC1,DB_RAM_ECU,u16Aru1RawValue,Aru 1 raw value,4999,0,[custom]
C1,202,RamEcuInputsC1,DB_RAM_ECU,eAru2State,Aru 2 state,0,0,[custom]
C1,204,RamEcuInputsC1,DB_RAM_ECU,u16Aru2RawValue,Aru 2 raw value,5000,0,[custom]
C1,214,RamEcuInputsC1,DB_RAM_ECU,bi3FaultPvgDeltaArmState,Fault Pvg Delta Arm state,1,0,[custom]
C1,215,RamEcuInputsC1,DB_RAM_ECU,i16FaultPvgDeltaArmValue,Fault Pvg Delta Arm value,315,0,[custom]
C1,216,RamEcuInputsC1,DB_RAM_ECU,u16FaultPvgDeltaArmRawValue,Fault Pvg Delta Arm raw value,1761,0,[custom]
C1,217,RamEcuInputsC1,DB_RAM_ECU,bi3FaultPvgBoomArmState,Fault Pvg Boom Arm state,1,0,[custom]
C1,218,RamEcuInputsC1,DB_RAM_ECU,i16FaultPvgBoomArmValue,Fault Pvg Boom Arm value,25,0,[custom]
C1,219,RamEcuInputsC1,DB_RAM_ECU,u16FaultPvgBoomArmRawValue,Fault Pvg Boom Arm raw value,601,0,[custom]
C1,220,RamEcuInputsC1,DB_RAM_ECU,bi3FaultPvgTelescopeArmState,Fault Pvg Telescope Arm state,1,0,[custom]
C1,221,RamEcuInputsC1,DB_RAM_ECU,i16FaultPvgTelescopeArmValue,Fault Pvg Telescope Arm value,314,0,[custom]
C1,222,RamEcuInputsC1,DB_RAM_ECU,u16FaultPvgTelescopeArmRawValue,Fault Pvg Telescope Arm raw value,1756,0,[custom]
C1,223,RamEcuInputsC1,DB_RAM_ECU,bi3FaultPvgEvProTorState,Fault Pvg Ev Pro TOR state,1,0,[custom]
C1,224,RamEcuInputsC1,DB_RAM_ECU,i16FaultPvgEvProTorValue,Fault Pvg Ev Pro TOR value,314,0,[custom]
C1,225,RamEcuInputsC1,DB_RAM_ECU,u16FaultPvgEvProTorRawValue,Fault Pvg Ev Pro TOR raw value,1758,0,[custom]
C1,226,RamEcuInputsC1,DB_RAM_ECU,eEntryTelescopeFdcSensorState,Entry Telescope Fdc Sensor state,2,0,[custom]
C1,228,RamEcuInputsC1,DB_RAM_ECU,u16EntryTelescopeFdcSensorRawValue,Entry Telescope Fdc Sensor raw value,65535,0,[custom]
C1,243,RamEcuInputsC1,DB_RAM_ECU,eFoldedDeltaArmSensorState,Folded Delta Arm Sensor state switch,0,0,[custom]
C1,244,RamEcuInputsC1,DB_RAM_ECU,u16FoldedDeltaArmSensorRawValue,Folded Delta Arm Sensor raw value,240,0,[custom]
C1,245,RamEcuInputsC1,DB_RAM_ECU,eFoldedBoomArmSensorState,Folded Boom Arm Sensor state switch,0,0,[custom]
C1,246,RamEcuInputsC1,DB_RAM_ECU,u16FoldedBoomArmSensorRawValue,Folded Boom Arm Sensor raw value,264,0,[custom]
C1,247,RamEcuInputsC1,DB_RAM_ECU,eForcingMotorRegimeState,Forcing Motor Regime state switch,2,0,[custom]
C1,248,RamEcuInputsC1,DB_RAM_ECU,u16ForcingMotorRegimeRawValue,Forcing Motor Regime raw value,65535,0,[custom]
C1,255,RamEcuInputsC1,DB_RAM_ECU,eActiveHelpState,Active Help state switch,1,0,[custom]
C1,256,RamEcuInputsC1,DB_RAM_ECU,u16ActiveHelpRawValue,Active Help raw value,0,0,[custom]
C1,259,RamEcuInputsC1,DB_RAM_ECU,eOilPressureState,Oil Pressure state swtich,0,0,[custom]
C1,260,RamEcuInputsC1,DB_RAM_ECU,u16OilPressureRawValue,Oil Pressure raw value,5000,0,[custom]
C1,261,RamEcuInputsC1,DB_RAM_ECU,eWaterTemperatureState,Water Temperature state switch,0,0,[custom]
C1,262,RamEcuInputsC1,DB_RAM_ECU,u16WaterTemperatureRawValue,Water Temperature raw value,4998,0,[custom]
C1,206,RamEcuInputsC1,DB_RAM_ECU,eStopMotorInfoState,Stop Motor Info State,0,0,[custom]
C1,207,RamEcuInputsC1,DB_RAM_ECU,u16StopMotorInfoRawValue,Stop Motor Info Raw value,5000,0,[custom]
C1,208,RamEcuInputsC1,DB_RAM_ECU,eTurretPostSelectorState,Turret Post Selector State,1,0,[custom]
C1,209,RamEcuInputsC1,DB_RAM_ECU,u16TurretPostSelectorRawValue,Turret Post Selector Raw Value,0,0,[custom]
C1,210,RamEcuInputsC1,DB_RAM_ECU,eRadioPostSelectorState,Radio Post Selector State,0,0,[custom]
